subject,trial,condition,order_byint,order,atc_scenario,ms_cutoff,restime,reserror
2,3,ATCint,3,9,3,20277.50958,1882.679766,0
2,9,ATCint,4,13,2,16222.00766,1542.875103,0
2,12,ATCint,5,15,5,23319.13602,3166.097751,0
2,11,Blank,1,5,NA,19263.6341,3642.379017,0
2,8,Blank,2,6,NA,21291.38506,1787.132889,0
2,2,Blank,3,8,NA,11152.63027,2195.105578,0
2,5,Blank,4,10,NA,17235.88314,2008.925894,0
2,14,Blank,5,12,NA,18249.75862,2086.867277,0
2,13,None,1,3,NA,15208.13219,1084.18368,0
2,4,None,2,4,NA,11152.63027,958.8164857,0
2,10,None,3,7,NA,12166.50575,912.5079094,0
2,7,None,4,11,NA,20277.50958,1067.507909,0
2,1,None,5,14,NA,23319.13602,1692.097751,0
20,15,ATCint,1,2,5,16221.8364,2987.123526,0
20,3,ATCint,2,3,1,20277.2955,3102.497487,0
20,6,ATCint,3,8,2,14194.10685,11873.63271,0
20,9,ATCint,4,11,4,16221.8364,4234.636048,0
20,12,ATCint,5,14,3,23318.88983,5975.878119,0
20,11,Blank,1,7,NA,19263.43073,3390.123526,0
20,8,Blank,2,10,NA,21291.16028,3455.956586,0
20,14,Blank,3,12,NA,18249.56595,10445.66109,0
20,2,Blank,4,13,NA,11152.51253,2114.853076,0
20,5,Blank,5,15,NA,17235.70118,4449.664428,0
20,10,None,1,1,NA,12166.3773,1405.283795,0
20,1,None,2,4,NA,23318.88983,4524.878119,0
20,13,None,3,5,NA,15207.97163,7084.984965,0
20,4,None,4,6,NA,11152.51253,3867.632712,0
20,7,None,5,9,NA,20277.2955,2795.283795,0
21,4,ATCint,1,2,3,11152.55811,7488.122905,0
21,7,ATCint,2,7,1,20277.37838,NA,1
21,10,ATCint,3,8,4,12166.42703,1696.66208,0
21,13,ATCint,4,10,5,15208.03379,NA,1
21,1,ATCint,5,14,2,23318.98514,2317.268838,0
21,9,Blank,1,1,NA,16221.9027,5132.972885,0
21,15,Blank,2,3,NA,16221.9027,2148.414771,0
21,12,Blank,3,6,NA,23318.98514,3822.268838,0
21,3,Blank,4,9,NA,20277.37838,2289.991825,0
21,6,Blank,5,12,NA,14194.16487,1916.122905,0
21,5,None,1,4,NA,17235.77162,2395.939093,0
21,11,None,2,5,NA,19263.50946,1833.414771,0
21,14,None,3,11,NA,18249.64054,1919.089113,0
21,8,None,4,13,NA,21291.2473,1224.467503,0
21,2,None,5,15,NA,11152.55811,1491.15261,0
22,1,ATCint,1,1,4,23319.06318,11092.77012,0
22,7,ATCint,2,5,2,20277.44624,4303.153185,0
22,13,ATCint,3,6,1,15208.08468,NA,1
22,4,ATCint,4,9,5,11152.59543,10923.70561,0
22,10,ATCint,5,15,3,12166.46774,3214.153185,0
22,2,Blank,1,2,NA,11152.59543,4275.579255,0
22,8,Blank,2,8,NA,21291.31855,7941.067172,0
22,5,Blank,3,10,NA,17235.8293,4190.345382,0
22,11,Blank,4,12,NA,19263.57393,3460.834631,0
22,14,Blank,5,14,NA,18249.70162,7809.62093,0
22,6,None,1,3,NA,14194.21237,1268.705612,0
22,15,None,2,4,NA,16221.95699,1768.834631,0
22,3,None,3,7,NA,20277.44624,1693.577924,0
22,12,None,4,11,NA,23319.06318,1583.770121,0
22,9,None,5,13,NA,16221.95699,2099.430064,0
23,9,ATCint,1,1,1,16221.81315,5905.868495,0
23,6,ATCint,2,4,2,14194.08651,9626.811406,0
23,15,ATCint,3,8,3,16221.81315,7092.371954,0
23,12,ATCint,4,9,5,23318.85641,7582.09168,0
23,3,ATCint,5,13,4,20277.26644,3639.674728,0
23,7,Blank,1,3,NA,20277.26644,7415.501714,0
23,10,Blank,2,5,NA,12166.35986,4969.501714,0
23,4,Blank,3,11,NA,11152.49654,4528.811406,0
23,13,Blank,4,12,NA,15207.94983,5288.178187,0
23,1,Blank,5,14,NA,23318.85641,5163.09168,0
23,8,None,1,2,NA,21291.12976,2540.128015,0
23,14,None,2,6,NA,18249.5398,3590.861577,0
23,11,None,3,7,NA,19263.40312,2105.371954,0
23,5,None,4,10,NA,17235.67647,1722.918667,0
23,2,None,5,15,NA,11152.49654,NA,1
24,5,ATCint,1,3,4,17235.86472,4644.980814,0
24,11,ATCint,2,6,1,19263.61351,2557.478395,0
24,8,ATCint,3,8,2,21291.3623,3923.821349,0
24,2,ATCint,4,10,3,11152.61835,3269.227186,0
24,14,ATCint,5,15,5,18249.73911,5927.333442,0
24,7,Blank,1,1,NA,20277.4879,5130.840697,0
24,4,Blank,2,2,NA,11152.61835,4868.449372,0
24,1,Blank,3,9,NA,23319.11109,4114.463883,0
24,13,Blank,4,12,NA,15208.11593,4781.705418,0
24,10,Blank,5,14,NA,12166.49274,5133.840697,0
24,9,None,1,4,NA,16221.99032,1461.096744,0
24,15,None,2,5,NA,16221.99032,3108.478395,0
24,3,None,3,7,NA,20277.4879,2086.323767,0
24,12,None,4,11,NA,23319.11109,2234.463883,0
24,6,None,5,13,NA,14194.24153,2165.449372,0
25,2,ATCint,1,3,3,11152.62215,8096.168746,0
25,14,ATCint,2,4,1,18249.74534,4878.285722,0
25,8,ATCint,3,6,4,21291.36956,NA,1
25,5,ATCint,4,12,5,17235.8706,12106.9203,0
25,11,ATCint,5,15,2,19263.62008,11136.41926,0
25,12,Blank,1,2,NA,23319.11904,3490.413051,0
25,9,Blank,2,8,NA,16221.99586,NA,1
25,6,Blank,3,10,NA,14194.24637,NA,1
25,15,Blank,4,13,NA,16221.99586,5993.419264,0
25,3,Blank,5,14,NA,20277.49482,17718.28158,0
25,7,None,1,1,NA,20277.49482,1540.788828,0
25,13,None,2,5,NA,15208.12112,1538.659427,0
25,4,None,3,7,NA,11152.62215,1842.406839,0
25,10,None,4,9,NA,12166.49689,1669.788828,0
25,1,None,5,11,NA,23319.11904,1546.413051,0
26,3,ATCint,1,1,2,20277.24426,NA,1
26,6,ATCint,2,4,4,14194.07098,3601.947744,0
26,12,ATCint,3,6,3,23318.8309,5825.254621,0
26,9,ATCint,4,8,5,16221.79541,5191.045846,0
26,15,ATCint,5,13,1,16221.79541,3584.561498,0
26,11,Blank,1,2,NA,19263.38205,4219.561498,0
26,2,Blank,2,5,NA,11152.48434,3684.285925,0
26,5,Blank,3,10,NA,17235.65762,5334.112644,0
26,14,Blank,4,14,NA,18249.51983,7936.014543,0
26,8,Blank,5,15,NA,21291.10647,6701.258812,0
26,1,None,1,3,NA,23318.8309,2799.254621,0
26,10,None,2,7,NA,12166.34656,7163.667981,0
26,4,None,3,9,NA,11152.48434,NA,1
26,7,None,4,11,NA,20277.24426,1692.667981,0
26,13,None,5,12,NA,15207.9332,2756.32561,0
27,7,ATCint,1,1,4,20277.3415,5723.938797,0
27,13,ATCint,2,6,1,15208.00613,NA,1
27,4,ATCint,3,9,2,11152.53783,2556.349813,0
27,10,ATCint,4,12,5,12166.4049,4117.938797,0
27,1,ATCint,5,14,3,23318.94273,2942.540021,0
27,6,Blank,1,4,NA,14194.13905,11202.34981,0
27,9,Blank,2,5,NA,16221.8732,3166.26805,0
27,3,Blank,3,7,NA,20277.3415,2906.216888,0
27,12,Blank,4,8,NA,23318.94273,2652.540021,0
27,15,Blank,5,11,NA,16221.8732,2135.730229,0
27,2,None,1,2,NA,11152.53783,1412.464378,0
27,14,None,2,3,NA,18249.60735,3228.343693,0
27,8,None,3,10,NA,21291.20858,1738.685187,0
27,11,None,4,13,NA,19263.47443,1515.730229,0
27,5,None,5,15,NA,17235.74028,1605.26193,0
28,10,ATCint,1,1,3,12166.34453,4189.693387,0
28,7,ATCint,2,2,4,20277.24088,2986.693387,0
28,13,ATCint,3,5,1,15207.93066,NA,1
28,4,ATCint,4,10,5,11152.48248,5275.968577,0
28,1,ATCint,5,15,2,23318.82701,2539.279519,0
28,14,Blank,1,8,NA,18249.51679,2195.037916,0
28,5,Blank,2,9,NA,17235.65475,2931.142284,0
28,8,Blank,3,11,NA,21291.10292,2783.278797,0
28,2,Blank,4,12,NA,11152.48248,1893.314549,0
28,11,Blank,5,14,NA,19263.37884,2153.590461,0
28,3,None,1,3,NA,20277.24088,1203.830621,0
28,9,None,2,4,NA,16221.7927,1244.072946,0
28,12,None,3,6,NA,23318.82701,1298.279519,0
28,15,None,4,7,NA,16221.7927,1165.590461,0
28,6,None,5,13,NA,14194.06862,1503.968577,0
29,12,ATCint,1,4,5,23318.8735,9588.982419,0
29,6,ATCint,2,10,3,14194.09691,5055.719983,0
29,9,ATCint,3,11,1,16221.82504,6891.749572,0
29,3,ATCint,4,12,4,20277.2813,7340.584048,0
29,15,ATCint,5,15,2,16221.82504,7507.244855,0
29,7,Blank,1,3,NA,20277.2813,7046.390223,0
29,4,Blank,2,5,NA,11152.50472,5579.719983,0
29,10,Blank,3,7,NA,12166.36878,2789.390223,0
29,13,Blank,4,8,NA,15207.96098,5340.079331,0
29,1,Blank,5,13,NA,23318.8735,2632.982419,0
29,5,None,1,1,NA,17235.68911,1410.788594,0
29,2,None,2,2,NA,11152.50472,1732.972985,0
29,8,None,3,6,NA,21291.14537,1920.040309,0
29,14,None,4,9,NA,18249.55317,1692.759006,0
29,11,None,5,14,NA,19263.41724,2651.244855,0
3,10,ATCint,1,4,5,12166.50575,2754.647439,0
3,4,ATCint,2,6,1,11152.63027,2842.2909,0
3,13,ATCint,3,7,2,15208.13219,NA,1
3,1,ATCint,4,9,4,23319.13602,2940.274491,0
3,7,ATCint,5,14,3,20277.50958,14645.64744,0
3,3,Blank,1,2,NA,20277.50958,1755.166584,0
3,9,Blank,2,3,NA,16222.00766,1667.890602,0
3,12,Blank,3,8,NA,23319.13602,2189.274491,0
3,15,Blank,4,13,NA,16222.00766,2285.258081,0
3,6,Blank,5,15,NA,14194.25671,3105.2909,0
3,2,None,1,1,NA,11152.63027,1398.009448,0
3,11,None,2,5,NA,19263.6341,1447.258081,0
3,8,None,3,10,NA,21291.38506,2258.669319,0
3,14,None,4,11,NA,18249.75862,1204.155644,0
3,5,None,5,12,NA,17235.88314,1511.755346,0
30,8,ATCint,1,6,3,21291.29667,2783.190172,0
30,11,ATCint,2,7,5,19263.55413,3170.012876,0
30,5,ATCint,3,12,1,17235.81159,2960.527797,0
30,14,ATCint,4,14,2,18249.68286,3116.764777,0
30,2,ATCint,5,15,4,11152.58397,3016.755415,0
30,4,Blank,1,1,NA,11152.58397,5979.833823,0
30,1,Blank,2,2,NA,23319.03921,15913.92335,0
30,7,Blank,3,3,NA,20277.4254,4411.30954,0
30,10,Blank,4,10,NA,12166.45524,3939.30954,0
30,13,Blank,5,13,NA,15208.06905,3326.121126,0
30,3,None,1,4,NA,20277.4254,2314.705093,0
30,12,None,2,5,NA,23319.03921,2357.923349,0
30,15,None,3,8,NA,16221.94032,1880.012876,0
30,9,None,4,9,NA,16221.94032,2099.596843,0
30,6,None,5,11,NA,14194.19778,2184.833823,0
31,2,ATCint,1,2,2,11152.53632,3354.487421,0
31,11,ATCint,2,5,3,19263.47182,4977.753544,0
31,14,ATCint,3,9,1,18249.60488,3119.362509,0
31,5,ATCint,4,11,4,17235.73795,7445.285791,0
31,8,ATCint,5,12,5,21291.2057,4500.701276,0
31,12,Blank,1,6,NA,23318.93957,4390.560064,0
31,6,Blank,2,7,NA,14194.13713,3286.366584,0
31,15,Blank,3,8,NA,16221.87101,6920.753544,0
31,3,Blank,4,14,NA,20277.33876,6215.233523,0
31,9,Blank,5,15,NA,16221.87101,4941.289866,0
31,13,None,1,1,NA,15208.00407,3111.697201,0
31,4,None,2,3,NA,11152.53632,2488.366584,0
31,7,None,3,4,NA,20277.33876,7824.959249,0
31,1,None,4,10,NA,23318.93957,1142.560064,0
