"subject","trial","condition","restime","reserror","ms_cutoff"
8,14,"Blank",4232.429736,0,18250.117866
8,3,"Nback",4543.756723,0,20277.90874
8,11,"Blank",NA,1,19264.013303
8,7,"None",2105.684496,0,20277.90874
8,12,"Nback",6615.370806,0,23319.595051
8,8,"Blank",3730.33847,0,21291.804177
8,5,"Blank",4207.298579,0,17236.222429
8,2,"Blank",2941.671199,0,11152.849807
8,10,"None",2386.684496,0,12166.745244
8,15,"Nback",7215.880325,0,16222.326992
8,13,"None",2124.90692,0,15208.431555
8,4,"None",2318.861287,0,11152.849807
8,1,"None",6321.370806,0,23319.595051
8,6,"Nback",10090.86129,0,14194.536118
8,9,"Nback",NA,1,16222.326992
9,8,"None",1665.48123,0,21291.778767
9,3,"Blank",2263.904323,0,20277.88454
9,14,"None",1333.596693,0,18250.096086
9,12,"Blank",3338.548651,0,23319.567221
9,9,"Blank",8533.923702,0,16222.307632
9,1,"Nback",5907.548651,0,23319.567221
9,2,"None",1544.87566,0,11152.836497
9,11,"None",1411.087206,0,19263.990313
9,6,"Blank",6669.010096,0,14194.519178
9,13,"Nback",4909.067827,0,15208.413405
9,4,"Nback",5776.010096,0,11152.836497
9,15,"Blank",3669.087206,0,16222.307632
9,7,"Nback",2926.86597,0,20277.88454
9,5,"None",3144.510299,0,17236.201859
9,10,"Nback",4816.86597,0,12166.730724
10,6,"None",1217.398209,0,14194.702648
10,1,"Nback",5405.62225,0,23319.868636
10,3,"None",1129.305541,0,20278.14664
10,5,"Blank",2126.216964,0,17236.424644
10,12,"None",1808.62225,0,23319.868636
10,2,"Blank",1835.660954,0,11152.980652
10,15,"None",1170.846291,0,16222.517312
10,8,"Blank",2136.934867,0,21292.053972
10,7,"Nback",6629.900255,0,20278.14664
10,9,"None",1139.826939,0,16222.517312
10,10,"Nback",2583.900255,0,12166.887984
10,11,"Blank",2564.846291,0,19264.239308
10,13,"Nback",3139.324893,0,15208.60998
10,4,"Nback",3589.398209,0,11152.980652
10,14,"Blank",11249.78823,0,18250.331976
12,10,"Blank",3764.373616,0,12166.850112
12,13,"Blank",3140.744606,0,15208.56264
12,7,"Blank",3635.373616,0,20278.08352
12,12,"None",4014.086144,0,23319.796048
12,8,"Nback",3975.307244,0,21291.987696
12,1,"Blank",5263.086144,0,23319.796048
12,4,"Blank",2939.786365,0,11152.945936
12,15,"None",1259.385922,0,16222.466816
12,11,"Nback",4405.385922,0,19264.179344
12,5,"Nback",3234.769219,0,17236.370992
12,2,"Nback",2932.194274,0,11152.945936
12,3,"None",1738.690541,0,20278.08352
12,9,"None",1269.331857,0,16222.466816
12,14,"Nback",5035.223727,0,18250.275168
12,6,"None",1345.786365,0,14194.658464
13,13,"None",1107.961274,0,15208.65099
13,5,"Nback",5925.738519,0,17236.471122
13,15,"Blank",6838.378781,0,16222.561056
13,10,"None",1199.490159,0,12166.920792
13,8,"Nback",3130.612258,0,21292.111386
13,6,"Blank",NA,1,14194.740924
13,7,"None",2160.490159,0,20278.20132
13,12,"Blank",3583.220356,0,23319.931518
13,2,"Nback",NA,1,11153.010726
13,9,"Blank",NA,1,16222.561056
13,14,"Nback",5944.410946,0,18250.381188
13,3,"Blank",3413.971996,0,20278.20132
13,1,"None",1568.220356,0,23319.931518
13,4,"None",1166.06193,0,11153.010726
13,11,"Nback",5851.378781,0,19264.291254
14,11,"Blank",2118.537318,0,19264.162529
14,8,"Blank",3399.411716,0,21291.969111
14,6,"Nback",3341.895264,0,14194.646074
14,12,"Nback",8230.216291,0,23319.775693
14,14,"Blank",3436.345905,0,18250.259238
14,15,"Nback",12375.53732,0,16222.452656
14,7,"None",2738.506419,0,20278.06582
14,9,"Nback",4917.473514,0,16222.452656
14,13,"None",4152.862358,0,15208.549365
14,5,"Blank",3287.924155,0,17236.355947
14,3,"Nback",4139.798554,0,20278.06582
14,1,"None",6441.216291,0,23319.775693
14,4,"None",3111.895264,0,11152.936201
14,10,"None",1713.506419,0,12166.839492
14,2,"Blank",NA,1,11152.936201
15,6,"Blank",2203.966015,0,14194.63801
15,10,"Nback",2672.592701,0,12166.83258
15,4,"Nback",7921.966015,0,11152.929865
15,8,"None",1269.479592,0,21291.957015
15,15,"Blank",3340.635679,0,16222.44344
15,3,"Blank",5382.86873,0,20278.0543
15,1,"Nback",4564.300847,0,23319.762445
15,11,"None",1824.635679,0,19264.151585
15,13,"Nback",6175.938862,0,15208.540725
15,7,"Nback",3767.592701,0,20278.0543
15,5,"None",1390.024818,0,17236.346155
15,9,"Blank",3801.565548,0,16222.44344
15,12,"Blank",4845.300847,0,23319.762445
15,2,"None",2576.44111,0,11152.929865
15,14,"None",1097.425285,0,18250.24887
16,1,"Nback",3281.882973,0,23319.35845
16,9,"None",NA,1,16222.1624
16,11,"Blank",17716.63938,0,19263.81785
16,10,"Nback",3154.227523,0,12166.6218
16,7,"Nback",3399.227523,0,20277.703
16,15,"None",2280.639376,0,16222.1624
16,14,"Blank",14283.84932,0,18249.9327
16,3,"None",1504.011719,0,20277.703
16,2,"Blank",NA,1,11152.73665
16,8,"Blank",NA,1,21291.58815
16,13,"Nback",3123.27507,0,15208.27725
16,6,"None",1413.126569,0,14194.3921
16,4,"Nback",9612.126569,0,11152.73665
16,12,"None",3131.882973,0,23319.35845
16,5,"Blank",6625.098777,0,17236.04755
17,14,"None",1627.33914,0,18250.26012
17,9,"Nback",4728.465669,0,16222.45344
17,5,"None",2917.915576,0,17236.35678
17,10,"Blank",NA,1,12166.84008
17,3,"Nback",8524.792573,0,20278.0668
17,8,"None",9219.405931,0,21291.97014
17,13,"Blank",4147.855837,0,15208.5501
17,4,"Blank",NA,1,11152.93674
