Participant,ATCintM_Workload1,BlankM_Workload1,NoneM_Workload1,ATCintM_Workload2,BlankM_Workload2,NoneM_Workload2,ATCintM_Workload,BlankM_Workload,NoneM_Workload,ATCintM_PreInt_Handoff_ReactionTime,BlankM_PreInt_Handoff_ReactionTime,NoneM_PreInt_Handoff_ReactionTime,ATCintM_PostInt_Handoff_ReactionTime,BlankM_PostInt_Handoff_ReactionTime,NoneM_PostInt_Handoff_ReactionTime,ATCintM_PreInt_Accept_ReactionTime,BlankM_PreInt_Accept_ReactionTime,NoneM_PreInt_Accept_ReactionTime,ATCintM_PostInt_Accept_ReactionTime,BlankM_PostInt_Accept_ReactionTime,NoneM_PostInt_Accept_ReactionTime,ATCintM_PostInt_Handoff_Misses,BlankM_PostInt_Handoff_Misses,NoneM_PostInt_Handoff_Misses,ATCintM_PostInt_Accept_Misses,BlankM_PostInt_Accept_Misses,NoneM_PostInt_Accept_Misses,ATCintM_PostInt_CDT,BlankM_PostInt_CDT,NoneM_PostInt_CDT,ATCintM_PostInt_ConfMisses,BlankM_PostInt_ConfMisses,NoneM_PostInt_ConfMisses,ATCintM_Overlap_ConfMisses,BlankM_Overlap_ConfMisses
29,4.2,5.2,5,4.2,5.2,6,4.2,5.2,5.5,2444.074074,2868.634783,2996.329355,2750.315789,3087.190476,4175.4,3196.410556,3451.568571,3161.399919,3505.76087,3093.877551,2956,0.047619048,0.08,0,0,0,0,42409.148,19934.2,53506.85333,0,0,0,0.4,0.2
3,4.8,5.4,4.4,4.6,6.4,5.6,4.7,5.9,5,2408.569565,3067.759259,2366.831935,2369.363636,2190,2594.6,2881.308929,2930.500571,2570.495514,2503.142857,2597.23913,3135.195122,0.076923077,0,0,0,0,0.023255814,35835.5425,49614.385,36691.686,0,0,0,0.333333333,0
30,5.2,4.6,4.8,5,4.8,4.6,5.1,4.7,4.7,3721.018276,4015.830435,3617.748276,3092.333333,4061.35,3707.894737,3951.415676,3947.465,3282.881111,4072.925,3748.816327,4001.478261,0,0.115384615,0.047619048,0.045454545,0,0,66811.4,56529.18,45513.1225,0.166666667,0,0,0.5,0.333333333
31,5.8,5.4,5.6,7.4,7.4,6.6,6.6,6.4,6.1,3241.80069,3534.111538,3559.821739,3652.266667,2985.684211,3639.736842,3227.977083,4883.171429,4580.105357,3303.571429,3476.282609,3091.395833,0,0.045454545,0.086956522,0,0,0.02,77178.514,58576.4375,68212.09,0.4,0.25,0.333333333,1,0.2
32,4.8,5.2,5.2,4.8,5.4,5.2,4.8,5.3,5.2,3126.274074,2716.82,2709.4,2731.25,3085.8,3079.380952,2975.530833,2717.940432,2497.841724,3393.26087,2620.380952,3141.755102,0,0,0.08,0,0,0,61879.594,36580.6075,35159.3375,0,0,0,0.6,0.2
33,4.4,5,4.8,9,9.4,8.6,6.7,7.2,6.7,4745.343478,4534.426923,4074.591786,4588.842105,3650.9375,5394.642857,4269.048214,4046.141429,4049.939611,3771.9375,4300,4079.666667,0.12,0.055555556,0,0.02,0,0,81979.1625,60180.912,49758.54,0.75,0.2,0.25,0.5,0.4
34,5.2,5,4.8,5.6,4.6,5.4,5.4,4.8,5.1,2808.8,2803.023448,2550.006897,3050.954545,3212.071429,2364.5,2333.843571,2412.108622,2388.678649,2326.041667,2644.214286,2706.652174,0.041666667,0,0,0.02,0,0,33009.86833,20222.79,52649.24,0,0,0,0.25,0
35,5.8,5.2,5.4,6.8,6.4,5.8,6.3,5.8,5.6,3140.57037,2569.156522,2720.105667,2285.9,2869.157895,2612.533333,2995.420833,2803.545185,3140.413243,2474.521739,2846.75,2607.642857,0,0.12,0,0,0.02,0,58013.632,48448.452,66208.38333,0.2,0,0.333333333,0.2,0.2
36,2.4,2.4,1.8,2.4,2.4,1.8,2.4,2.4,1.8,4452.051154,5798.72381,5468.010714,4513.066667,5794.952381,5888.333333,4063.450229,3848.477037,4943.063143,5350.179487,3912.931818,4872.418605,0,0.08,0.083333333,0.066666667,0.092592593,0.06122449,70090.794,40547.55333,52393.44,0.2,0,0,0.4,0.333333333
37,3.6,3,3.2,4.2,3.4,3.8,3.9,3.2,3.5,3315.645517,2451.851852,2819.426087,2563.2,2556.263158,2671.619048,2374.176676,2450.546571,2336.731724,2216.097561,2385.891304,2538.795918,0,0.047619048,0.111111111,0.023255814,0,0,58226.92333,81926.315,81803.815,0,0.166666667,0,0.428571429,0.5
38,6.8,7,6.2,6.8,7,7,6.8,7,6.6,2961.223077,3245.655357,3526.313043,3228.315789,3262.866667,3380.761905,3221.450286,2773.786667,2630.505862,3071.73913,2946.761905,3329.333333,0.047619048,0,0.08,0,0,0.02,56391.868,42370.08333,51918.69,0,0,0.2,0.25,0
39,5.2,6.6,6.4,5.2,6.6,6.2,5.2,6.6,6.3,3156.940909,2829.140741,3327.466452,3749.9,2754.4,3615.285714,3624.077037,3307.289429,2974.934919,3136.122449,2971.152174,2635.804878,0.083333333,0,0,0,0,0.023255814,83794.92,65554.24833,63517.688,0,0.166666667,0.2,0.428571429,0.5
4,4.8,5.4,5.6,4.8,5.4,5.6,4.8,5.4,5.6,4910.604545,5249.637241,5177.472,4011.578947,4570.428571,4014.529412,3623.395,3804.503057,3572.916389,3838.148936,4048.35,4109.217391,0.148148148,0.0625,0.130434783,0.039215686,0.045454545,0,71004.71,54837.9625,52236.0125,0.2,0.25,0.25,0.2,0.4
40,7.6,7.6,8,7.8,7.8,8,7.7,7.7,8,2782.856522,2724.941333,2857.557143,3438.095238,2722.066667,3141.3,3337.273214,3171.981306,3389.084054,3485.877551,3328.425,4117.173913,0.08,0,0,0,0.045454545,0,44946.185,68173.425,17897.93667,0,0.166666667,0,0.2,0.5
41,3.4,3.4,4,4,4,4.2,3.7,3.7,4.1,4765.081481,3508.708696,3423.097667,3629.352941,3941.238095,3696.642857,4426.975278,3176.648889,3937.679324,3985.391304,3315.244898,3198.95122,0.095238095,0.08,0.0625,0,0,0.023255814,38371.492,48722.07,46309.808,0.2,0,0.2,0.2,0.333333333
42,4.8,4.6,4.6,5.2,5.2,5.2,5,4.9,4.9,3106.033,2904.96087,2754.862069,3587.928571,3414.714286,2556.4,3293.073472,3225.142963,3793.807838,3152.595238,2763.734694,3128.195652,0.0625,0.043478261,0,0,0,0,22284.95,38838.868,19174.2775,0,0.2,0,0.2,0.2
