Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_HandoffTime,intData_HandoffMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
19,3,3013.2,0,2517.803333333333333333333333,0,14862.700000000001,1,0
19,4,2392.216666666666666666666667,0,3715.315,1,14725.700000000001,0,0
19,5,-22249.6,2,0,4,20753.900000000001,1,0
20,1,2402.3,0,3270.683333333333333333333333,1,14988.5,1,0
20,2,1667.67,0,4358.64,0,11242.150000000001,0,0
20,3,1433.1,0,3213.803333333333333333333333,0,10086.200000000001,1,0
20,4,3007.616666666666666666666667,0,2646.72,1,13722.154999999999,0,0
20,5,-22260.2,2,0,4,nan,2,0
21,1,1689.7,0,2400.576666666666666666666667,1,nan,2,0
21,2,1861.965,0,4404.146666666666666666666667,0,9397.2900000000009,1,0
21,3,1898.55,0,3230.653333333333333333333333,0,nan,2,0
21,4,1717.553333333333333333333333,0,2606.75,1,nan,2,0
21,5,1291.433333333333333333333333,0,2320.723333333333333333333333,1,nan,2,0
22,1,1812.1,0,2791.653333333333333333333333,1,9057.7099999999991,1,0
22,2,2255.655,0,3211.576666666666666666666667,0,13265.5,1,0
22,3,5368.4,0,2975.055,1,18327.400000000001,0,0
22,4,5358.256666666666666666666667,0,3965.01,2,20925.900000000001,1,0
22,5,4805.2,1,2339.786666666666666666666667,1,19539.799999999999,1,0
23,1,3681.3,1,3493.913333333333333333333333,1,nan,2,0
23,2,3308.385,0,5815.733333333333333333333333,0,19487.400000000001,1,0
23,3,2459.0,0,7664.645,1,11594.299999999999,1,0
23,4,4022.506666666666666666666667,0,4324.19,1,17434.099999999999,0,0
23,5,4380.5,1,3832.295,2,16552.0,1,0
24,1,2836.55,0,3023.923333333333333333333333,1,18455.900000000001,1,0
24,2,1661.53,1,6506.68,0,19269.650000000001,0,0
24,3,3263.75,0,6432.025,1,10416.799999999999,1,0
24,4,2655.825,1,6266.13,2,22581.450000000001,0,0
24,5,2330.033333333333333333333333,0,5594.953333333333333333333333,1,nan,2,0
25,1,9903.6,1,2791.703333333333333333333333,1,nan,2,0
25,2,-8066.07,1,-4026.06,1,19741.200000000001,1,0
25,3,3991.55,0,3792.155,1,nan,2,0
25,4,3759.593333333333333333333333,0,3531.38,1,12625.0,1,0
25,5,2129.166666666666666666666667,0,5832.20,1,nan,2,0
26,1,5203.2,0,3331.256666666666666666666667,1,nan,2,0
26,2,-8061.31,1,0,3,5912.3400000000001,1,0
26,3,4629.95,0,5273.99,0,13328.299999999999,1,0
26,4,4629.293333333333333333333333,0,4229.65,2,17293.400000000001,0,0
26,5,1556.066666666666666666666667,0,4917.52,1,9146.9899999999998,1,0
27,1,1821.15,0,2515.463333333333333333333333,1,nan,2,0
27,2,5120.46,0,3404.513333333333333333333333,0,18300.25,0,0
27,3,1831.55,0,2780.706666666666666666666667,0,15382.015000000001,0,0
27,4,3241.01,0,2525.75,1,12652.060000000001,0,0
27,5,2646.8,0,6091.036666666666666666666667,1,10562.6,1,0
28,1,2734.05,0,2254.41,1,10360.305,0,0
28,2,2209.88,0,6189.79,0,15974.099999999999,0,0
28,3,5465.45,0,4183.605,1,15890.049999999999,0,0
28,4,4402.79,0,3960.41,2,12051.875,0,0
